Datos X;Sitio1A-BVrmsMáx[Voltios];Sitio1B-CVrmsMáx[Voltios];Sitio1C-AVrmsMáx[Voltios];Sitio1AIrmsMáx[Amperios];Sitio1BIrmsMáx[Amperios];Sitio1CIrmsMáx[Amperios];Sitio1TOTP(kW)Máx[kW];Sitio1TOTQ-Fnd(kVAR)Máx[kVAR];Sitio2A-BVrmsMáx[Voltios];Sitio2B-CVrmsMáx[Voltios];Sitio2C-AVrmsMáx[Voltios];Sitio2AIrmsMáx[Amperios];Sitio2BIrmsMáx[Amperios];Sitio2CIrmsMáx[Amperios];Sitio2TOTP(kW)Máx[kW];Sitio2TOTQ-Fnd(kVAR)Máx[kVAR];
17/05/2015 14:27:11;56835;56632;56283;128.81;127.62;124.54;11041;5147;57030;56736;56407;301.49;309.36;302.43;27026;2964.6;
17/05/2015 14:27:12;56835;56632;56283;128.81;127.62;124.54;11041;5147;56921;56729;56442;268.16;279.04;270.49;24925;1958.1;
17/05/2015 14:27:13;56835;56632;56283;128.81;127.62;124.54;11041;5147;56970;56769;56362;260.78;271.99;263.23;24903;2008.2;
17/05/2015 14:27:14;56835;56632;56283;128.81;127.62;124.54;11041;5147;56892;56881;56438;277.74;282.41;282.12;25516;2301.8;
17/05/2015 14:27:15;56835;56632;56283;128.81;127.62;124.54;11041;5147;56841;56781;56298;285.55;293.59;282.64;26032;2818.0;
17/05/2015 14:27:16;56835;56632;56283;128.81;127.62;124.54;11041;5147;56954;56742;56254;270.64;283.67;272.01;25468;2727.3;
17/05/2015 14:27:17;56835;56632;56283;128.81;127.62;124.54;11041;5147;56999;56845;56182;299.61;315.87;300.59;26978;3516;
17/05/2015 14:27:18;56835;56632;56283;128.81;127.62;124.54;11041;5147;56809;56816;56204;313.13;327.3;319.1;29462;4835;
17/05/2015 14:27:19;56835;56632;56283;128.81;127.62;124.54;11041;5147;56812;56846;56105;315.68;328.4;313.97;29256;4660;
17/05/2015 14:27:20;56835;56632;56283;128.81;127.62;124.54;11041;5147;56749;56965;56190;312.95;326.7;315.27;29277;4694;
17/05/2015 14:27:21;56835;56632;56283;128.81;127.62;124.54;11041;5147;56841;56836;56276;312.60;322.8;311.13;29281;4714;
17/05/2015 14:27:22;56835;56632;56283;128.81;127.62;124.54;11041;5147;56885;56792;56384;316.5;322.8;309.95;29315;4700;
17/05/2015 14:27:23;56835;56632;56283;128.81;127.62;124.54;11041;5147;56921;56693;56290;319.0;326.9;316.4;29352;4701;
17/05/2015 14:27:24;56835;56632;56283;128.81;127.62;124.54;11041;5147;57097;56715;56355;327.5;333.0;324.5;29327;4724;
17/05/2015 14:27:25;56835;56632;56283;128.81;127.62;124.54;11041;5147;56860;56752;56247;326.8;331.1;321.6;29560;4813;
17/05/2015 14:27:26;56835;56632;56283;128.81;127.62;124.54;11041;5147;57086;56729;56274;319.8;327.6;316.6;29511;4757;
17/05/2015 14:27:27;56835;56632;56283;128.81;127.62;124.54;11041;5147;56823;56709;56307;315.07;323.1;313.04;29442;4742;
17/05/2015 14:27:28;56835;56632;56283;128.81;127.62;124.54;11041;5147;56854;56716;56271;315.99;319.7;313.68;29433;4742;
17/05/2015 14:27:29;56835;56632;56283;128.81;127.62;124.54;11041;5147;56829;56660;56254;315.33;322.6;317.4;29391;4703;
17/05/2015 14:27:30;56835;56632;56283;128.81;127.62;124.54;11041;5147;56898;56707;56379;310.10;318.5;311.50;29294;4663;
17/05/2015 14:27:31;56835;56632;56283;128.81;127.62;124.54;11041;5147;56907;56615;56332;320.4;322.5;317.5;29338;4699;
17/05/2015 14:27:32;56835;56632;56283;128.81;127.62;124.54;11041;5147;56829;56554;56326;313.74;317.6;311.23;29365;4683;
17/05/2015 14:27:33;56835;56632;56283;128.81;127.62;124.54;11041;5147;56800;56543;56481;316.14;321.1;317.1;29464;4790;
17/05/2015 14:27:34;56835;56632;56283;128.81;127.62;124.54;11041;5147;56849;56592;56416;314.81;324.2;316.4;29425;4770;
17/05/2015 14:27:35;56835;56632;56283;128.81;127.62;124.54;11041;5147;56751;56420;56231;316.4;322.4;317.7;29560;4730;
17/05/2015 14:27:36;56835;56632;56283;128.81;127.62;124.54;11041;5147;56722;56429;56330;318.4;322.4;315.00;29549;4821;
17/05/2015 14:27:37;56835;56632;56283;128.81;127.62;124.54;11041;5147;56858;56756;56325;326.9;333.0;329.1;29843;6256;
17/05/2015 14:27:38;56835;56632;56283;128.81;127.62;124.54;11041;5147;56919;56525;56152;323.9;332.9;328.1;30068;5868;
17/05/2015 14:27:39;56835;56632;56283;128.81;127.62;124.54;11041;5147;56794;56606;56357;313.03;319.1;312.81;28676;6156;
17/05/2015 14:27:40;56835;56632;56283;128.81;127.62;124.54;11041;5147;56598;56567;56263;321.4;325.6;320.4;29456;6411;
17/05/2015 14:27:41;56835;56632;56283;128.81;127.62;124.54;11041;5147;56738;56503;56256;313.85;323.3;313.57;29246;5183;
